Date,Arkansas Nuclear One,Beaver Valley,Braidwood Generation Station,Browns Ferry,Brunswick,Byron Generating Station,Callaway,Calvert Cliffs Nuclear Power Plant,Catawba,Clinton Power Station,Columbia Generating Station,Comanche Peak,Cooper,Crystal River,Davis Besse,Diablo Canyon,Donald C Cook,Dresden Generating Station,Duane Arnold,Edwin I Hatch,Fermi,Fort Calhoun,Grand Gulf,H B Robinson,Harris,Indian Point 2,Indian Point 3,James A Fitzpatrick,Joseph M Farley,Kewaunee,LaSalle Generating Station,Limerick,McGuire,Millstone,Monticello,Nine Mile Point Nuclear Station,North Anna,Oconee,Oyster Creek,PPL Susquehanna,PSEG Hope Creek Generating Station,PSEG Salem Generating Station,Palisades,Palo Verde,Peach Bottom,Perry,Pilgrim Nuclear Power Station,Point Beach,Prairie Island,Quad Cities Generating Station,R. E. Ginna Nuclear Power Plant,River Bend Station,San Onofre,Seabrook,Sequoyah,South Texas Project,St Lucie,Surry,Three Mile Island,Turkey Point,V C Summer,Vermont Yankee,Vogtle,Waterford 3,Watts Bar Nuclear Plant,Wolf Creek Generating Station
2007-01-01,0.0,0.0,0.0,32.65,8.0,0.0,0,0.0,6.5,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,10.04,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,2.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-02,0.0,0.0,0.0,32.65,9.99,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-03,0.0,0.0,0.0,32.65,2.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-04,0.0,0.0,0.0,32.98,4.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,0.0,6,0.0,0,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,50.0,0.0,0.0,0.0,0,1.02,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-05,0.0,0.0,0.0,32.98,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,1,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,20.0,0.0,0.0,0.0,0,0.0,0,0.68,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-06,0.0,0.0,0.0,32.98,0.0,0.0,0,0.0,45.5,4,0,0.0,0,0.0,0,0.0,0.0,2.5,6.0,7.97,0,0.0,0,0,0,0.0,0.0,0,1.01,36.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.51,0,0.0,9,0.0,0.0,41,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,44.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-07,0.0,0.0,0.0,33.32,0.0,0.0,0,0.0,37.5,4,0,0.0,0,0.0,0,0.0,0.0,13.5,2.0,12.95,14,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,50.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-08,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,6.47,0,0.0,0,0,0,0.0,0.0,0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,15.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-09,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
2007-01-10,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-11,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,9.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-12,0.0,0.0,0.0,66.34,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.34,0.0,0,0.0,0.0,0.0,4.0,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-13,0.0,0.0,0.0,60.95,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,100.0,0.5,0.0,0.0,0.0,100,0.0,0.0,3.0,0.0,0.0,0,0.0,0,0.34,23.0,0,0.0,0.0,0.0,4.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-14,0.0,0.0,0.0,51.18,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,100.0,0.5,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,16.63,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-15,0.0,0.0,0.0,34.33,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,94.0,0.5,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,3.02,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-16,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,4.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-17,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,4.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-18,0.0,0.0,0.0,32.98,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,3.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-19,0.0,0.0,0.0,32.98,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.34,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-20,0.0,0.0,0.0,32.65,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,2.0,1.49,0,0.0,0,0,0,0.0,0.0,0,1.99,1.0,1.51,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.34,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-21,0.0,0.0,0.0,32.65,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,4.0,18.92,0,0.0,2,0,0,0.0,0.0,0,0.0,1.0,1.51,15.5,0.0,0.0,100,0.0,0.0,0.0,0.0,1.51,0,0.0,0,0.32,0.0,0,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-22,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,7,0.0,0,0.0,0,0.0,0.0,2.5,4.0,4.98,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,1.51,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,0,0.0,18.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-23,0.0,0.0,0.0,32.65,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,4.0,4.98,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,2.01,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0,0.0,18.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-24,0.0,0.0,0.0,33.66,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,3.0,4.98,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,2.01,0.0,0.0,0.0,99,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,0,0.0,1.5,0,49.53,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-25,0.0,0.0,0.0,33.99,0.5,0.0,0,0.0,0.0,4,0,0.0,40,0.0,0,0.0,0.0,2.5,5.0,4.98,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,2.01,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,0,0.0,0.5,0,43.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-26,54.01,0.0,0.0,33.99,0.0,0.0,0,0.0,0.0,4,0,0.0,40,0.0,0,0.0,0.0,2.5,2.0,5.48,0,0.0,0,0,0,0.0,0.0,0,0.0,8.0,2.01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.34,0.0,0,0.0,0.0,0.0,4.0,0,0.0,0.5,85,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-27,54.01,0.0,0.0,34.33,15.01,0.0,0,0.0,0.0,4,0,0.0,45,0.0,0,0.0,0.0,2.5,5.0,42.83,0,0.0,0,0,0,0.0,0.0,0,0.0,7.0,2.51,0.0,0.0,39.63,0,0.0,0.0,0.0,0.0,0.0,100,0.0,0,32.54,0.0,0,39.0,0.0,0.0,3.5,0,33.0,0.5,60,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,60.0,0
2007-01-28,54.01,0.0,0.0,34.33,1.0,0.99,0,0.0,0.0,4,0,0.0,45,0.0,0,0.0,0.0,3.0,5.0,44.33,0,0.0,0,0,0,0.0,0.0,0,0.0,7.0,2.51,0.0,0.0,42.46,0,0.7,0.0,0.0,0.0,5.46,100,0.0,0,32.21,0.0,0,18.0,0.0,0.0,3.5,100,9.0,2.99,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,45.0,0
2007-01-29,54.01,0.0,0.0,34.67,1.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,6.0,44.83,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,2.51,0.0,0.0,56.61,0,0.0,0.0,0.0,0.0,0.0,100,0.0,0,32.21,0.0,0,0.0,0.0,0.0,3.5,98,0.0,7.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,8.0,0
2007-01-30,54.01,0.0,0.0,34.67,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,6.0,44.33,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,2.51,0.0,0.0,46.42,0,0.35,0.0,0.0,0.0,0.0,100,0.0,0,32.21,0.0,0,0.0,0.0,0.0,3.5,50,0.0,7.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-01-31,54.01,0.0,0.0,34.67,0.5,0.0,0,10.07,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,6.0,50.81,0,0.0,0,0,0,0.0,0.0,0,0.0,6.0,3.01,0.5,0.0,8.49,0,0.35,0.0,0.0,0.0,0.0,95,0.0,0,32.21,0.0,1,0.0,0.0,0.0,3.5,44,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-01,54.01,0.0,0.0,35.01,0.5,0.0,0,46.31,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,6.0,51.31,0,0.0,0,0,0,0.0,0.0,0,0.0,5.0,3.01,0.5,0.0,0.0,0,0.35,0.0,0.0,0.0,0.0,57,0.0,0,27.7,0.0,1,0.0,0.0,0.0,3.5,44,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-02,45.37,0.0,0.0,35.01,0.5,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,7.0,51.31,0,0.0,0,0,0,0.0,0.0,0,0.0,5.0,3.51,0.0,0.0,0.0,0,0.35,0.0,0.0,0.0,0.0,20,0.0,0,3.24,0.0,1,0.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-03,0.0,0.0,0.0,37.36,0.5,0.0,0,0.0,0.0,4,0,1.0,0,0.0,0,0.0,0.0,3.5,7.0,51.81,7,0.0,0,0,0,0.0,0.0,0,0.0,5.0,3.51,0.0,0.0,0.0,0,0.7,0.0,4.0,0.0,0.0,0,0.0,0,0.0,0.0,32,2.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.99,0,0.0,0
2007-02-04,0.0,0.0,0.0,37.36,0.5,0.0,0,0.0,0.0,4,0,0.0,10,0.0,0,0.0,0.0,3.0,93.0,50.31,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,3.51,0.0,0.0,0.0,0,11.74,0.0,0.0,0.0,3.02,6,0.0,0,0.0,0.0,0,2.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.99,0,0.0,0
2007-02-05,0.0,0.0,0.0,35.34,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,29.4,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,3.51,0.0,0.0,0.0,0,0.7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.99,0,0.0,0
2007-02-06,0.0,0.0,0.0,35.68,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,6.0,100.0,55.18,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,3.51,0.0,0.0,0.0,0,1.05,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.99,0,0.0,0
2007-02-07,0.0,0.0,0.0,36.69,0.0,0.0,0,0.5,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,50.7,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,3.51,0.0,0.0,0.0,0,1.05,0.0,0.0,0.0,0.0,0,0.0,0,18.66,0.0,0,4.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,35.0,48,0.0,0.99,0,0.0,0
2007-02-08,0.0,0.0,0.0,36.02,0.0,0.0,0,0.5,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,52.69,7,0.0,0,0,0,0.0,0.0,0,0.0,1.0,4.01,0.0,0.0,0.0,0,1.4,0.0,0.0,0.0,0.0,0,0.0,0,29.86,0.0,0,3.0,0.0,0.0,3.0,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,50.0,25,0.0,0.5,0,0.0,0
2007-02-09,0.0,0.0,0.0,39.05,0.0,0.0,0,0.5,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,4.01,1.0,0.0,0.0,0,1.4,0.0,0.0,0.0,0.0,0,0.0,0,29.86,0.0,0,3.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0.0,0.5,0,0.0,0
2007-02-10,0.0,0.0,0.0,73.05,0.0,0.0,1,0.99,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,4.52,0.0,0.0,0.0,0,1.75,0.0,0.0,0.0,0.0,0,0.0,0,7.8,0.0,0,4.0,0.0,0.0,3.5,0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0,0.0,0.5,0,0.0,0
2007-02-11,0.0,0.0,0.0,74.73,0.0,0.0,0,0.99,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,5.02,0.0,0.0,0.0,0,1.75,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-12,0.0,0.0,0.0,74.73,0.0,0.0,0,0.99,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.5,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,5.02,0.0,0.0,0.0,0,1.75,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-13,0.0,0.0,0.0,70.69,0.0,0.0,0,1.49,1.5,4,0,0.0,0,0.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,5.02,0.0,0.0,0.0,0,1.75,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-14,0.0,2.05,0.0,46.79,0.0,0.0,0,1.99,1.5,4,0,0.0,0,0.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,4.0,5.02,0.5,0.0,0.0,0,1.75,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,5.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,0.99,0,0.0,0
2007-02-15,0.0,2.05,0.0,46.12,0.0,0.0,0,1.99,1.5,4,0,0.0,0,0.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,5.0,5.02,0.5,0.0,0.0,0,2.1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.99,0,0.0,0
2007-02-16,0.0,2.56,0.0,41.74,0.0,0.0,0,1.99,0.0,4,0,0.0,0,0.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,5.0,5.52,0.0,0.0,0.0,0,2.1,0.0,66.67,0.0,0.0,0,0.0,0,0.0,0.0,0,6.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-17,0.0,2.56,0.0,41.41,0.0,0.0,0,1.99,0.0,4,0,0.0,0,0.0,0,0.0,0.0,3.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,0,0.0,5.0,5.52,0.0,0.0,0.0,0,2.1,0.0,66.67,0.0,0.0,0,0.0,0,0.0,19.5,0,7.0,0.0,0.0,3.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-18,0.0,2.56,0.0,48.48,0.5,0.0,0,1.99,0.0,4,0,0.0,0,20.0,0,0.0,0.0,3.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,45,0.0,0.0,20.47,3.0,0.0,0.0,0,2.8,0.0,64.67,0.0,0.0,0,0.0,0,0.0,0.0,0,7.0,13.03,0.0,3.5,0,0.0,0.5,0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-19,0.0,2.56,0.0,41.74,0.5,0.0,0,2.98,0.0,4,0,0.5,0,48.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,45,0.0,0.0,5.52,0.0,0.0,0.0,0,2.8,0.0,60.67,0.0,0.0,0,0.0,0,0.0,0.0,0,7.0,0.0,0.0,4.0,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-20,0.0,2.56,0.0,57.92,0.0,0.0,0,3.97,0.0,4,0,1.5,0,30.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,0,0,0,0.0,0.0,45,0.0,0.0,6.02,0.0,0.0,0.0,0,2.8,0.0,33.33,0.0,1.01,0,0.0,0,33.94,0.0,0,7.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-21,0.0,2.56,0.0,66.34,0.0,0.0,0,3.97,0.0,4,0,2.0,0,25.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,1,0,0,0.0,0.0,7,0.0,0.0,7.02,0.5,0.0,0.0,0,2.8,0.0,33.33,0.0,0.0,0,0.0,0,33.94,0.0,0,8.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,1.5,0.0,0.0,0.0,0.0,0,0.0,11.07,0,0.0,0
2007-02-22,0.0,2.56,0.0,66.34,0.0,0.0,0,4.47,0.0,4,0,2.5,0,100.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,6.02,0.5,0.0,0.0,0,3.15,0.0,33.33,0.0,0.0,0,0.0,0,33.94,0.0,0,8.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,1.5,0.0,0.0,0.0,0.0,0,0.0,2.5,0,0.0,0
2007-02-23,0.0,0.0,0.0,66.34,0.0,0.0,0,4.47,0.0,4,0,2.5,0,90.0,0,0.0,0.0,2.0,100.0,50.2,0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,6.02,1.0,0.0,0.0,0,3.15,0.0,33.33,0.0,0.0,0,0.0,0,33.94,0.0,1,8.0,0.0,0.0,3.5,0,0.0,0.5,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-24,0.0,8.19,0.0,66.34,0.5,0.0,0,4.97,0.0,4,0,3.5,0,28.0,0,0.0,0.0,14.0,100.0,50.2,0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,6.02,0.0,0.0,0.0,0,2.1,0.0,21.33,0.0,0.0,0,0.0,0,33.94,0.0,25,9.0,0.0,0.0,3.5,0,0.0,1.49,0,0.0,2.5,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-25,0.0,8.19,0.0,66.34,0.5,0.0,0,5.46,0.0,4,0,50.0,0,25.0,0,0.0,0.0,12.5,100.0,50.2,0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,6.52,0.0,0.0,0.0,0,3.5,0.0,0.0,0.0,12.4,0,0.0,0,34.26,0.0,0,9.0,2.5,0.0,9.5,0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
2007-02-26,0.0,8.19,0.0,66.34,0.0,0.0,0,49.66,0.0,4,0,50.0,0,25.0,0,0.0,0.0,2.5,100.0,50.2,0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,50.18,0.5,0.0,0.0,0,3.5,0.0,0.0,0.0,1.98,0,0.0,0,29.86,0.0,0,9.0,0.0,0.0,3.5,0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0,0.0,0
